image_no,nose_x,nose_y,nose_score,neck_x,neck_y,neck_score,right_shoulder_x,right_shoulder_y,right_shoulder_score,right_elbow_x,right_elbow_y,right_elbow_score,right_wrist_x,right_wrist_y,right_wrist_score,left_shoulder_x,left_shoulder_y,left_shoulder_score,left_elbow_x,left_elbow_y,left_elbow_score,left_wrist_x,left_wrist_y,left_wrist_score,mid_hip_x,mid_hip_y,mid_hip_score,right_hip_x,right_hip_y,right_hip_score,right_knee_x,right_knee_y,right_knee_score,right_ankle_x,right_ankle_y,right_ankle_score,left_hip_x,left_hip_y,left_hip_score,left_knee_x,left_knee_y,left_knee_score,left_ankle_x,left_ankle_y,left_ankle_score,right_eye_x,right_eye_y,right_eye_score,left_eye_x,left_eye_y,left_eye_score,right_ear_x,right_ear_y,right_ear_score,left_ear_x,left_ear_y,left_ear_score,left_bigtoe_x,left_bigtoe_y,left_bigtoe_score,left_smalltoe_x,left_smalltoe_y,left_smalltoe_score,left_heel_x,left_heel_y,left_heel_score,right_bigtoe_x,right_bigtoe_y,right_bigtoe_score,right_smalltoe_x,right_smalltoe_y,right_smalltoe_score,right_heel_x,right_heel_y,right_heel_score,label
10,556.8287,291.75513,0.8655285,500.89737,291.99185,0.87471294,509.71472,291.95773,0.90225947,547.956,339.09616,0.91481066,621.53625,356.59586,0.87780607,483.23575,291.9379,0.8098811,542.0215,341.8652,0.29610625,601.01105,350.71988,0.22182763,462.6175,433.19327,0.8323345,456.59924,433.22818,0.8437443,456.53958,539.154,0.85326195,388.9486,650.9506,0.88262504,480.16486,433.22485,0.79829055,556.7822,503.81985,0.9164351,524.42944,609.8101,0.8313837,556.8402,274.31558,0.84496105,0,0,0,536.15326,265.40457,0.8765825,0,0,0,574.49817,624.5573,0.80298394,571.4291,621.59106,0.73989487,503.8461,621.603,0.75619113,436.01743,671.5654,0.8676415,415.6151,674.54297,0.81018543,368.4231,665.6262,0.83614093,1
11,556.82837,291.75363,0.8650445,500.8988,291.98486,0.87474483,509.71313,291.95007,0.9028578,547.9504,339.09424,0.915564,621.5354,356.58618,0.8772058,483.2378,291.93256,0.80856216,542.0233,341.86096,0.28978118,601.0126,350.70898,0.21921296,462.6185,433.19333,0.83201826,456.599,433.2282,0.8433515,456.53912,539.15216,0.8533164,388.95148,650.95087,0.8827542,480.1666,433.22458,0.7984054,556.7836,503.81964,0.9161942,524.4269,609.80896,0.831178,556.841,274.31522,0.84449804,0,0,0,536.1591,265.40198,0.87559074,0,0,0,574.4905,624.5654,0.80356157,571.4224,621.5985,0.74096847,503.84546,621.6018,0.75611913,436.01953,671.5644,0.8672114,418.39145,674.543,0.8100491,368.42764,665.62726,0.83606,1
12,577.29193,291.85907,0.9263032,521.40137,291.97937,0.8794764,539.1628,291.81555,0.8351134,580.40765,321.39594,0.857489,645.1197,338.91736,0.9312662,500.79733,294.72772,0.83111316,456.793,341.83838,0.8963888,468.48203,386.11716,0.50751734,480.34583,430.10938,0.79144454,477.22073,430.18222,0.77378863,453.73502,530.4317,0.86603755,388.958,648.01117,0.90708554,492.01636,430.16733,0.6581836,577.3894,497.83878,0.895892,577.5079,606.7905,0.88282406,574.56384,274.32074,0.89576584,0,0,0,550.9922,262.49536,0.9193106,0,0,0,630.39935,606.8427,0.78989786,624.52185,601.0726,0.8104428,571.5197,624.3758,0.8519203,436.13824,671.5747,0.8550568,418.4853,674.5429,0.80873126,368.50568,656.8575,0.8286212,1
13,577.2924,291.85703,0.9263252,521.40137,291.98004,0.87931305,539.16284,291.81393,0.83481586,580.41406,321.39685,0.85624826,645.1263,338.9176,0.9316344,500.79672,294.73077,0.83034956,456.78864,341.8469,0.8967407,468.50534,386.145,0.50737876,480.34436,430.10718,0.7910998,477.22287,430.179,0.7738916,453.73264,530.4373,0.865243,388.96066,648.0128,0.90694404,492.01147,430.16727,0.6571029,577.38727,497.83975,0.8963747,577.5082,606.792,0.882444,574.56384,274.3194,0.89613855,0,0,0,550.9921,262.49442,0.91934,0,0,0,630.40173,606.8439,0.7889648,624.51636,603.80457,0.8092131,571.52,624.37665,0.8526959,436.1401,671.577,0.8541337,418.48685,674.54553,0.807942,368.50867,656.8559,0.828547,1
14,594.94385,288.89633,0.8428757,536.1717,291.89102,0.88751006,562.70966,291.80365,0.8457066,615.5907,321.2945,0.8947746,671.60565,321.41983,0.89062387,512.66095,294.7285,0.81923777,474.30893,339.01608,0.87325776,456.79565,365.4784,0.8969104,506.65744,427.25235,0.8045773,500.76874,427.2638,0.7371749,459.7349,527.25073,0.8833308,392.0075,642.0053,0.83713627,515.54553,427.31808,0.698221,597.9038,494.94135,0.86968875,633.35645,600.94226,0.8528957,586.26794,271.3174,0.87647957,597.77924,280.12848,0.08823071,559.7758,262.4487,0.8497625,0,0,0,674.60767,592.1369,0.70365703,671.5304,589.14813,0.69910437,627.4362,621.56793,0.8147956,436.2116,671.59735,0.85053694,418.44055,671.6671,0.82835513,380.13412,645.0408,0.8541475,1
15,594.9664,288.8993,0.85004187,536.1788,291.88724,0.88561964,562.7159,291.81003,0.8467158,615.5859,321.29108,0.8960898,671.5995,321.41287,0.89253145,512.66895,294.722,0.81807107,474.31195,339.01407,0.8732908,456.7951,365.4791,0.89667434,506.65924,427.25458,0.804989,500.76846,427.26532,0.7374163,459.73404,527.2526,0.88364124,392.01187,639.2282,0.83670014,515.54944,427.32043,0.6985376,597.9037,494.94168,0.86976856,633.35736,600.94476,0.85245746,589.12164,271.3379,0.8807536,597.81244,280.16205,0.08825806,559.78925,262.45068,0.847682,0,0,0,674.5964,594.92206,0.7035587,671.5334,589.1522,0.69832385,627.4353,621.572,0.8151591,436.2012,671.59784,0.8504873,418.4262,671.6651,0.82972527,380.1341,645.0394,0.85425407,1
16,600.93933,288.86426,0.9016732,550.98224,294.81732,0.9503671,577.3714,291.89572,0.8706014,630.36816,321.3807,0.8809488,695.0079,318.53323,0.9276333,527.35144,297.84433,0.8245109,480.28656,339.03412,0.9415881,459.73068,365.45056,0.88540107,530.22003,430.15265,0.79460853,527.3672,433.01794,0.78702134,489.07175,524.4056,0.8396754,409.62454,621.4026,0.8637397,530.3444,427.2946,0.65496445,618.6043,497.89874,0.84952104,671.54913,598.04004,0.9048543,598.0817,271.33542,0.95779943,603.97,277.18896,0.13851425,574.4096,268.1702,0.9388877,0,0,0,706.8874,580.2761,0.7667497,698.1202,577.4993,0.7666649,671.6104,618.52576,0.7999792,433.01596,671.5334,0.89042485,412.5034,668.47253,0.8566288,388.92944,621.4152,0.83907986,1
17,600.9363,288.86758,0.90157354,550.9811,294.8179,0.950019,577.37036,291.89215,0.8696767,630.3397,321.36893,0.8869921,695.0043,318.5256,0.9302442,527.3513,297.84387,0.824703,480.28696,339.03546,0.9412435,459.7302,365.44946,0.8856987,530.20184,430.1492,0.79462445,527.36395,430.27097,0.7852808,489.06754,524.3975,0.8385118,409.63025,621.4094,0.8642081,530.3241,427.2922,0.6564941,618.5985,497.89294,0.8487627,671.5481,598.0399,0.90504146,598.08057,271.3383,0.9572633,603.96747,277.20413,0.13936251,574.40784,268.16904,0.9379503,0,0,0,706.88763,580.2786,0.7672941,698.12134,577.5015,0.76713866,671.6092,618.52704,0.7998965,433.02335,671.52496,0.89157116,412.50604,668.4664,0.85492504,388.93933,621.4181,0.8391687,1
18,612.65045,291.81564,0.88230705,556.8098,303.63614,0.8708349,592.0306,297.7508,0.8482094,639.19257,335.90735,0.84741354,698.1057,333.134,0.841618,530.3481,309.52618,0.86691105,489.0369,344.94446,0.8545491,480.20087,368.45,0.8564784,553.8344,430.12585,0.8057953,565.5775,430.2372,0.7587749,542.10205,527.37335,0.8958246,433.26865,583.2996,0.84219587,545.0012,427.19888,0.7022678,639.1401,503.80603,0.84382176,692.1783,603.91986,0.8922589,603.937,274.34903,0.8719843,618.5196,288.94553,0.05911292,580.3125,271.1689,0.9438054,0,0,0,724.53125,598.0137,0.7444157,718.704,597.90466,0.76505256,692.0956,621.56464,0.8400515,421.43384,642.1056,0.78767675,409.72104,627.4121,0.8474014,415.556,577.3969,0.81018716,1
19,612.64844,291.81055,0.8811662,556.80457,303.6319,0.87175506,592.023,297.74268,0.84906006,639.19403,335.9079,0.84790504,698.10956,333.1238,0.84041584,530.3435,309.52527,0.86782944,489.03113,344.94522,0.85528016,480.20135,368.4604,0.8553768,553.8369,430.12442,0.8052151,565.579,430.23535,0.75833905,542.1031,527.373,0.8958117,433.26782,583.30225,0.8418271,544.98846,424.3741,0.702412,639.1402,503.8062,0.8435745,692.1763,603.91656,0.89212847,603.9366,274.34375,0.8723781,618.5155,288.9411,0.05868871,580.31213,271.16943,0.9438908,0,0,0,724.53644,598.0097,0.743425,718.7055,597.9012,0.7631907,692.0929,621.5606,0.8386673,421.43896,642.1078,0.7875133,409.7228,627.4143,0.84683335,415.5543,577.3994,0.80967253,1
20,621.50385,297.78265,0.86119,571.4107,315.3613,0.9116679,597.82043,309.55008,0.8432275,642.12805,342.01633,0.91351265,715.7845,342.08142,0.8720836,542.0636,318.31555,0.8369825,503.76273,365.42352,0.9081327,518.5084,386.18576,0.45360434,571.5304,439.13434,0.80727243,580.42084,439.02893,0.81552774,600.84033,530.1689,0.9053058,497.89212,553.75287,0.83380246,553.82135,441.98047,0.76210016,653.9415,506.6147,0.8476106,698.1152,603.95087,0.79440373,618.61786,291.71323,0.8599263,0,0,0,595.05457,277.1659,0.87903273,0,0,0,739.2444,609.72986,0.68009126,736.3208,603.91174,0.6668627,695.1784,621.477,0.77421606,453.66162,600.9419,0.7294075,447.87317,594.95593,0.6787258,483.15842,544.93616,0.6948481,1
